2023-09-15 05:05:56,378 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=COMMIT_MULTIPART_UPLOAD_PARTKEY {volume=s3v, bucket=bucket-ozone-test-8355478247, key=svpfedlyso, dataSize=10485761, replicationType=NONE, replicationFactor=ZERO, partNumber=1, partName=/s3v/bucket-ozone-test-8355478247/svpfedlyso-c21abfda-0ab0-4988-9858-f962d097a6ad-111067421389225997-1} | ret=SUCCESS |  
2023-09-15 05:05:56,400 | INFO  | OMAudit | user=null | ip=null | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
2023-09-15 05:05:56,406 | INFO  | OMAudit | user=null | ip=null | op=READ_BUCKET {volume=s3v, bucket=bucket-ozone-test-8355478247} | ret=SUCCESS |  
2023-09-15 05:05:56,417 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-ozone-test-8355478247, key=svpfedlyso, dataSize=0, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-09-15 05:05:56,428 | INFO  | OMAudit | user=null | ip=null | op=READ_KEY {volume=s3v, bucket=bucket-ozone-test-8355478247, key=multiUpload.2.gz, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2023-09-15 05:05:56,654 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-ozone-test-8355478247, key=svpfedlyso, dataSize=0, replicationType=RATIS, replicationFactor=THREE, clientID=111067421501816847} | ret=SUCCESS |  
2023-09-15 05:05:56,770 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-ozone-test-8355478247, key=svpfedlyso, dataSize=0, replicationType=RATIS, replicationFactor=THREE, clientID=111067421501816847} | ret=SUCCESS |  
2023-09-15 05:05:56,905 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-ozone-test-8355478247, key=svpfedlyso, dataSize=0, replicationType=RATIS, replicationFactor=THREE, clientID=111067421501816847} | ret=SUCCESS |  
2023-09-15 05:05:57,020 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-ozone-test-8355478247, key=svpfedlyso, dataSize=0, replicationType=RATIS, replicationFactor=THREE, clientID=111067421501816847} | ret=SUCCESS |  
2023-09-15 05:05:57,150 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-ozone-test-8355478247, key=svpfedlyso, dataSize=0, replicationType=RATIS, replicationFactor=THREE, clientID=111067421501816847} | ret=SUCCESS |  
2023-09-15 05:05:57,267 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-ozone-test-8355478247, key=svpfedlyso, dataSize=0, replicationType=RATIS, replicationFactor=THREE, clientID=111067421501816847} | ret=SUCCESS |  
2023-09-15 05:05:57,380 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-ozone-test-8355478247, key=svpfedlyso, dataSize=0, replicationType=RATIS, replicationFactor=THREE, clientID=111067421501816847} | ret=SUCCESS |  
2023-09-15 05:05:57,497 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-ozone-test-8355478247, key=svpfedlyso, dataSize=0, replicationType=RATIS, replicationFactor=THREE, clientID=111067421501816847} | ret=SUCCESS |  
2023-09-15 05:05:57,587 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-ozone-test-8355478247, key=svpfedlyso, dataSize=0, replicationType=RATIS, replicationFactor=THREE, clientID=111067421501816847} | ret=SUCCESS |  
2023-09-15 05:05:57,687 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-ozone-test-8355478247, key=svpfedlyso, dataSize=0, replicationType=RATIS, replicationFactor=THREE, clientID=111067421501816847} | ret=SUCCESS |  
2023-09-15 05:05:57,807 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-ozone-test-8355478247, key=svpfedlyso, dataSize=0, replicationType=RATIS, replicationFactor=THREE, clientID=111067421501816847} | ret=SUCCESS |  
2023-09-15 05:05:57,903 | INFO  | OMAudit | user=dlfknslnfslf | ip= | op=COMMIT_MULTIPART_UPLOAD_PARTKEY {volume=s3v, bucket=bucket-ozone-test-8355478247, key=svpfedlyso, dataSize=10485761, replicationType=NONE, replicationFactor=ZERO, partNumber=2, partName=/s3v/bucket-ozone-test-8355478247/svpfedlyso-c21abfda-0ab0-4988-9858-f962d097a6ad-111067421389225997-2} | ret=SUCCESS |  
2023-09-15 05:05:57,932 | INFO  | OMAudit | user=null | ip=null | op=READ_VOLUME {volume=s3v} | ret=SUCCESS |  
